Culture
4
12
10
3
4
4
10
5
7
4
4
3
4
9
9
9
4
3
14
28
4
3
7
7
4
4
4
4
4
4
13
5
9
5
16
10
4
7
7
5
14
3
21
4
10
4
4
4
4
4
4
4
8
8
3
8
4
4
3
4
7
12
7
7
8
10
4
16
4
7
4
4
4
4
4
4
4
9
16
4
5
3
4
4
4
4
4
4
4
4
4
4
13
3
4
4
4
9
7
4
4
4
4
16
8
4
4
4
9
4
4
10
4
10
9
4
4
10
4
4
4
4
3
4
9
4
8
12
11
10
4
7
4
4
4
9
4
9
4
3
4
7
7
5
4
16
4
14
4
4
4
4
8
9
4
10
12
4
8
4
4
5
4
4
4
5
16
4
4
3
9
10
7
4
4
4
7
4
4
8
3
4
16
9
4
4
9
4
4
4
4
15
4
3
8
7
16
4
7
4
7
4
9
14
16
4
4
4
4
4
14
4
4
4
4
4
10
7
4
9
4
4
4
5
16
4
5
9
5
4
3
4
4
4
4
4
4
4
4
4
16
3
7
4
4
3
4
12
4
17
16
4
4
10
7
4
4
12
3
4
7
7
14
11
4
4
11
4
4
9
9
7
9
3
4
4
7
4
12
21
10
3
9
10
7
4
4
4
4
4
4
10
4
12
4
4
16
9
4
4
4
4
16
4
7
7
9
4
9
3
3
4
9
3
9
7
10
9
4
9
4
9
4
7
3
9
16
4
4
4
13
4
7
4
4
4
8
9
10
4
4
13
14
11
4
10
4
4
16
4
4
4
4
4
4
12
4
4
4
4
10
10
7
4
3
4
4
4
4
2
4
5
10
4
3
8
7
4
9
5
4
4
4
4
4
8
4
16
7
4
7
4
10
4
10
4
9
4
8
4
4
9
16
4
3
4
4
4
4
14
4
3
3
4
9
4
8
4
4
4
4
10
10
12
10
4
4
4
21
4
4
9
16
10
7
3
9
4
4
3
4
3
4
4
3
4
4
7
4
8
4
4
4
4
16
7
8
17
7
4
4
16
9
16
9
4
4
4
4
4
27
4
4
16
10
4
10
9
4
4
4
9
21
4
13
7
3
4
4
3
2
10
4
4
3
4
4
3
7
4
8
8
3
4
3
12
4
4
4
4
7
4
4
4
7
4
21
9
3
7
4
9
4
5
7
7
21
4
4
4
16
8
4
3
4
7
13
9
4
4
4
4
3
4
5
3
4
7
3
7
4
9
4
4
3
10
4
3
10
7
12
4
9
12
16
3
10
7
4
4
4
4
4
4
4
4
4
4
4
4
3
4
9
7
16
8
4
4
3
3
4
10
8
3
10
3
4
4
9
4
4
8
4
17
4
4
9
4
4
14
4
4
4
4
4
4
4
4
7
4
4
7
9
4
4
8
4
4
4
4
4
4
5
10
4
4
3
3
4
3
4
11
3
4
4
4
11
4
4
7
7
10
9
16
4
14
4
14
4
4
21
4
4
4
16
7
4
4
4
4
3
4
4
4
4
8
4
4
9
4
16
9
4
4
3
4
9
4
4
4
12
4
9
4
13
4
9
4
7
4
16
4
8
9
4
13
4
4
9
4
4
4
16
8
4
11
8
4
4
4
12
4
3
4
4
4
9
4
3
5
7
9
7
4
4
4
4
14
4
21
3
4
4
7
4
4
12
4
9
10
4
7
8
4
5
7
4
4
9
14
7
4
16
7
10
4
4
4
3
5
7
9
4
4
4
4
7
3
4
7
4
4
3
9
9
3
8
9
21
4
16
4
4
9
2
9
4
4
4
4
4
4
4
4
3
4
5
7
4
7
5
4
4
5
4
3
3
10
4
4
10
10
8
3
4
3
4
4
4
4
9
4
4
4
8
7
7
4
10
4
4
10
4
9
4
4
4
8
4
3
4
4
4
7
4
4
7
16
5
4
4
12
4
7
4
7
4
7
4
4
4
4
10
4
4
3
5
4
4
16
4
4
4
21
9
14
7
8
21
9
3
3
4
4
4
3
9
7
3
14
4
7
8
12
13
4
4
11
4
4
7
4
3
4
4
13
9
9
4
7
13
4
9
4
4
7
13
9
7
4
7
7
5
3
7
7
16
12
4
